ID Produto;Data;Produto;Categoria;Subcategoria;Loja;Preco Vendido
19;01/01/2018;"REGATA ""MACHAO"" FITNESS TECIDO LEVE 100 AZUL MARINHO";Roupas;Regatas;Cachambi - RJ;39.99
20;01/01/2018;REGATA FITNESS MASCULINA 2019 - LINHA 500;Roupas;Regatas;Tijuca - RJ;59.99
21;01/01/2018;REGATA MACHAO MASCULINA FTA 500 PRETA;Roupas;Regatas;Barra da Tijuca - RJ;69.99
22;01/01/2018;TENIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500;Calcados;Tenis Corrida;Gavea - RJ;89.99
23;01/01/2018;TENIS FITNESS MASCULINO PRETO/CINZA LINHA 500;Calcados;Tenis Corrida;Cachambi - RJ;89.99
24;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 100;Calcados;Tenis Corrida;Gavea - RJ;119.99
25;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 900;Calcados;Tenis Corrida;Cachambi - RJ;249.99
26;01/01/2018;MEIA DE CORRIDA COMFORT INVISIBLE KALENJI;Calcados;Meias;Gavea - RJ;9.99
27;01/01/2018;MEIA DE CORRIDA COMFORT HIGH;Calcados;Meias;Gavea - RJ;9.99
28;01/01/2018;MEIA DE CORRIDA KIPRUN THICK KALENJI;Calcados;Meias;Botagogo - RJ;24.99
29;01/01/2018;LUVAS ACADEMIA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Botagogo - RJ;34.99
30;01/01/2018;LUVAS ACADEMIA / MEIA PALMA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Botagogo - RJ;25.99
31;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO PRETA;Acessorios;Bolsas;Gavea - RJ;49.99
32;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO VIOLETA;Acessorios;Bolsas;Tijuca - RJ;49.99
33;01/01/2018;BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS;Acessorios;Bolsas;Tijuca - RJ;149.99
1;01/01/2018;BLUSA MASCULINA GINASTICA;Roupas;Agasalhos;Gavea - RJ;39.99
2;01/01/2018;AGASALHO MENINO GINASTICA;Roupas;Agasalhos;Botagogo - RJ;69.99
3;01/01/2018;BERMUDA FITNESS MASCULINA FST 120 PRETO CLASSICA;Roupas;Bermudas;Gavea - RJ;59.99
4;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA;Roupas;Bermudas;Cachambi - RJ;89.99
5;01/01/2018;"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500";Roupas;Bermudas;Barra da Tijuca - RJ;109.99
6;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO;Roupas;Bermudas;Botagogo - RJ;79.99
7;01/01/2018;CALCA SLIM 500;Roupas;Calcas;Botagogo - RJ;129.99
8;01/01/2018;CALCA MASCULINA 500;Roupas;Calcas;Barra da Tijuca - RJ;129.99
9;01/01/2018;CALCA DE FITNESS ENERGY DOMYOS MASCULINA;Roupas;Calcas;Gavea - RJ;89.99
10;01/01/2018;CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI;Roupas;Camisetas;Tijuca - RJ;79.99
11;01/01/2018;CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO;Roupas;Camisetas;Botagogo - RJ;79.99
12;01/01/2018;CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO;Roupas;Camisetas;Botagogo - RJ;59.99
13;01/01/2018;CAMISETA FITNESS MASCULINA FST120 BORDO ESTAMPADO;Roupas;Camisetas;Tijuca - RJ;59.99
14;01/01/2018;CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI;Roupas;Camisetas;Botagogo - RJ;49.99
15;01/01/2018;JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO;Roupas;Jaquetas;Botagogo - RJ;119.99
16;01/01/2018;JAQUETA MASCULINA DE ACADEMIA FVE900;Roupas;Jaquetas;Gavea - RJ;169.99
17;01/01/2018;CASACO MASCULINO GINASTICA SPACER;Roupas;Jaquetas;Tijuca - RJ;189.99
18;01/01/2018;REGATA MACHAO MASCULINA FTA 500 VERDE;Roupas;Regatas;Botagogo - RJ;69.99
19;01/01/2018;"REGATA ""MACHAO"" FITNESS TECIDO LEVE 100 AZUL MARINHO";Roupas;Regatas;Botagogo - RJ;39.99
20;01/01/2018;REGATA FITNESS MASCULINA 2019 - LINHA 500;Roupas;Regatas;Botagogo - RJ;59.99
21;01/01/2018;REGATA MACHAO MASCULINA FTA 500 PRETA;Roupas;Regatas;Botagogo - RJ;69.99
22;01/01/2018;TENIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500;Calcados;Tenis Corrida;Gavea - RJ;89.99
23;01/01/2018;TENIS FITNESS MASCULINO PRETO/CINZA LINHA 500;Calcados;Tenis Corrida;Botagogo - RJ;89.99
24;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 100;Calcados;Tenis Corrida;Botagogo - RJ;119.99
25;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 900;Calcados;Tenis Corrida;Botagogo - RJ;249.99
26;01/01/2018;MEIA DE CORRIDA COMFORT INVISIBLE KALENJI;Calcados;Meias;Cachambi - RJ;9.99
27;01/01/2018;MEIA DE CORRIDA COMFORT HIGH;Calcados;Meias;Tijuca - RJ;9.99
28;01/01/2018;MEIA DE CORRIDA KIPRUN THICK KALENJI;Calcados;Meias;Gavea - RJ;24.99
29;01/01/2018;LUVAS ACADEMIA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Barra da Tijuca - RJ;34.99
30;01/01/2018;LUVAS ACADEMIA / MEIA PALMA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Gavea - RJ;25.99
31;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO PRETA;Acessorios;Bolsas;Botagogo - RJ;49.99
32;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO VIOLETA;Acessorios;Bolsas;Tijuca - RJ;49.99
33;01/01/2018;BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS;Acessorios;Bolsas;Tijuca - RJ;149.99
1;01/01/2018;BLUSA MASCULINA GINASTICA;Roupas;Agasalhos;Gavea - RJ;39.99
2;01/01/2018;AGASALHO MENINO GINASTICA;Roupas;Agasalhos;Gavea - RJ;69.99
3;01/01/2018;BERMUDA FITNESS MASCULINA FST 120 PRETO CLASSICA;Roupas;Bermudas;Tijuca - RJ;59.99
4;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA;Roupas;Bermudas;Barra da Tijuca - RJ;89.99
5;01/01/2018;"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500";Roupas;Bermudas;Botagogo - RJ;109.99
6;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO;Roupas;Bermudas;Tijuca - RJ;79.99
7;01/01/2018;CALCA SLIM 500;Roupas;Calcas;Barra da Tijuca - RJ;129.99
8;01/01/2018;CALCA MASCULINA 500;Roupas;Calcas;Barra da Tijuca - RJ;129.99
9;01/01/2018;CALCA DE FITNESS ENERGY DOMYOS MASCULINA;Roupas;Calcas;Botagogo - RJ;89.99
10;01/01/2018;CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI;Roupas;Camisetas;Tijuca - RJ;79.99
11;01/01/2018;CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO;Roupas;Camisetas;Botagogo - RJ;79.99
12;01/01/2018;CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO;Roupas;Camisetas;Botagogo - RJ;59.99
13;01/01/2018;CAMISETA FITNESS MASCULINA FST120 BORDO ESTAMPADO;Roupas;Camisetas;Barra da Tijuca - RJ;59.99
14;01/01/2018;CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI;Roupas;Camisetas;Barra da Tijuca - RJ;49.99
15;01/01/2018;JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO;Roupas;Jaquetas;Tijuca - RJ;119.99
16;01/01/2018;JAQUETA MASCULINA DE ACADEMIA FVE900;Roupas;Jaquetas;Cachambi - RJ;169.99
17;01/01/2018;CASACO MASCULINO GINASTICA SPACER;Roupas;Jaquetas;Tijuca - RJ;189.99
18;01/01/2018;REGATA MACHAO MASCULINA FTA 500 VERDE;Roupas;Regatas;Tijuca - RJ;69.99
19;01/01/2018;"REGATA ""MACHAO"" FITNESS TECIDO LEVE 100 AZUL MARINHO";Roupas;Regatas;Botagogo - RJ;39.99
20;01/01/2018;REGATA FITNESS MASCULINA 2019 - LINHA 500;Roupas;Regatas;Botagogo - RJ;59.99
21;01/01/2018;REGATA MACHAO MASCULINA FTA 500 PRETA;Roupas;Regatas;Gavea - RJ;69.99
22;01/01/2018;TENIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500;Calcados;Tenis Corrida;Tijuca - RJ;89.99
23;01/01/2018;TENIS FITNESS MASCULINO PRETO/CINZA LINHA 500;Calcados;Tenis Corrida;Tijuca - RJ;89.99
24;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 100;Calcados;Tenis Corrida;Botagogo - RJ;119.99
25;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 900;Calcados;Tenis Corrida;Botagogo - RJ;249.99
26;01/01/2018;MEIA DE CORRIDA COMFORT INVISIBLE KALENJI;Calcados;Meias;Gavea - RJ;9.99
27;01/01/2018;MEIA DE CORRIDA COMFORT HIGH;Calcados;Meias;Cachambi - RJ;9.99
28;01/01/2018;MEIA DE CORRIDA KIPRUN THICK KALENJI;Calcados;Meias;Botagogo - RJ;24.99
29;01/01/2018;LUVAS ACADEMIA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Cachambi - RJ;34.99
30;01/01/2018;LUVAS ACADEMIA / MEIA PALMA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Barra da Tijuca - RJ;25.99
31;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO PRETA;Acessorios;Bolsas;Botagogo - RJ;49.99
32;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO VIOLETA;Acessorios;Bolsas;Tijuca - RJ;49.99
33;01/01/2018;BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS;Acessorios;Bolsas;Botagogo - RJ;149.99
1;01/01/2018;BLUSA MASCULINA GINASTICA;Roupas;Agasalhos;Botagogo - RJ;39.99
2;01/01/2018;AGASALHO MENINO GINASTICA;Roupas;Agasalhos;Botagogo - RJ;69.99
3;01/01/2018;BERMUDA FITNESS MASCULINA FST 120 PRETO CLASSICA;Roupas;Bermudas;Botagogo - RJ;59.99
4;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA;Roupas;Bermudas;Tijuca - RJ;89.99
5;01/01/2018;"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500";Roupas;Bermudas;Cachambi - RJ;109.99
6;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO;Roupas;Bermudas;Barra da Tijuca - RJ;79.99
7;01/01/2018;CALCA SLIM 500;Roupas;Calcas;Gavea - RJ;129.99
8;01/01/2018;CALCA MASCULINA 500;Roupas;Calcas;Gavea - RJ;129.99
9;01/01/2018;CALCA DE FITNESS ENERGY DOMYOS MASCULINA;Roupas;Calcas;Tijuca - RJ;89.99
10;01/01/2018;CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI;Roupas;Camisetas;Barra da Tijuca - RJ;79.99
11;01/01/2018;CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO;Roupas;Camisetas;Botagogo - RJ;79.99
12;01/01/2018;CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO;Roupas;Camisetas;Cachambi - RJ;59.99
13;01/01/2018;CAMISETA FITNESS MASCULINA FST120 BORDO ESTAMPADO;Roupas;Camisetas;Cachambi - RJ;59.99
14;01/01/2018;CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI;Roupas;Camisetas;Cachambi - RJ;49.99
15;01/01/2018;JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO;Roupas;Jaquetas;Gavea - RJ;119.99
16;01/01/2018;JAQUETA MASCULINA DE ACADEMIA FVE900;Roupas;Jaquetas;Tijuca - RJ;169.99
17;01/01/2018;CASACO MASCULINO GINASTICA SPACER;Roupas;Jaquetas;Tijuca - RJ;189.99
18;01/01/2018;REGATA MACHAO MASCULINA FTA 500 VERDE;Roupas;Regatas;Botagogo - RJ;69.99
19;01/01/2018;"REGATA ""MACHAO"" FITNESS TECIDO LEVE 100 AZUL MARINHO";Roupas;Regatas;Tijuca - RJ;39.99
20;01/01/2018;REGATA FITNESS MASCULINA 2019 - LINHA 500;Roupas;Regatas;Gavea - RJ;59.99
21;01/01/2018;REGATA MACHAO MASCULINA FTA 500 PRETA;Roupas;Regatas;Tijuca - RJ;69.99
22;01/01/2018;TENIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500;Calcados;Tenis Corrida;Cachambi - RJ;89.99
23;01/01/2018;TENIS FITNESS MASCULINO PRETO/CINZA LINHA 500;Calcados;Tenis Corrida;Botagogo - RJ;89.99
24;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 100;Calcados;Tenis Corrida;Botagogo - RJ;119.99
25;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 900;Calcados;Tenis Corrida;Gavea - RJ;249.99
26;01/01/2018;MEIA DE CORRIDA COMFORT INVISIBLE KALENJI;Calcados;Meias;Botagogo - RJ;9.99
27;01/01/2018;MEIA DE CORRIDA COMFORT HIGH;Calcados;Meias;Tijuca - RJ;9.99
28;01/01/2018;MEIA DE CORRIDA KIPRUN THICK KALENJI;Calcados;Meias;Botagogo - RJ;24.99
29;01/01/2018;LUVAS ACADEMIA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Barra da Tijuca - RJ;34.99
30;01/01/2018;LUVAS ACADEMIA / MEIA PALMA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Cachambi - RJ;25.99
31;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO PRETA;Acessorios;Bolsas;Cachambi - RJ;49.99
32;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO VIOLETA;Acessorios;Bolsas;Cachambi - RJ;49.99
33;01/01/2018;BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS;Acessorios;Bolsas;Cachambi - RJ;149.99
1;01/01/2018;BLUSA MASCULINA GINASTICA;Roupas;Agasalhos;Gavea - RJ;39.99
2;01/01/2018;AGASALHO MENINO GINASTICA;Roupas;Agasalhos;Botagogo - RJ;69.99
3;01/01/2018;BERMUDA FITNESS MASCULINA FST 120 PRETO CLASSICA;Roupas;Bermudas;Tijuca - RJ;59.99
4;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA;Roupas;Bermudas;Tijuca - RJ;89.99
5;01/01/2018;"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500";Roupas;Bermudas;Barra da Tijuca - RJ;109.99
6;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO;Roupas;Bermudas;Tijuca - RJ;79.99
7;01/01/2018;CALCA SLIM 500;Roupas;Calcas;Cachambi - RJ;129.99
8;01/01/2018;CALCA MASCULINA 500;Roupas;Calcas;Botagogo - RJ;129.99
9;01/01/2018;CALCA DE FITNESS ENERGY DOMYOS MASCULINA;Roupas;Calcas;Cachambi - RJ;89.99
10;01/01/2018;CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI;Roupas;Camisetas;Botagogo - RJ;79.99
11;01/01/2018;CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO;Roupas;Camisetas;Botagogo - RJ;79.99
12;01/01/2018;CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO;Roupas;Camisetas;Cachambi - RJ;59.99
13;01/01/2018;CAMISETA FITNESS MASCULINA FST120 BORDO ESTAMPADO;Roupas;Camisetas;Gavea - RJ;59.99
14;01/01/2018;CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI;Roupas;Camisetas;Cachambi - RJ;49.99
15;01/01/2018;JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO;Roupas;Jaquetas;Cachambi - RJ;119.99
16;01/01/2018;JAQUETA MASCULINA DE ACADEMIA FVE900;Roupas;Jaquetas;Gavea - RJ;169.99
17;01/01/2018;CASACO MASCULINO GINASTICA SPACER;Roupas;Jaquetas;Botagogo - RJ;189.99
18;01/01/2018;REGATA MACHAO MASCULINA FTA 500 VERDE;Roupas;Regatas;Botagogo - RJ;69.99
19;01/01/2018;"REGATA ""MACHAO"" FITNESS TECIDO LEVE 100 AZUL MARINHO";Roupas;Regatas;Gavea - RJ;39.99
20;01/01/2018;REGATA FITNESS MASCULINA 2019 - LINHA 500;Roupas;Regatas;Barra da Tijuca - RJ;59.99
21;01/01/2018;REGATA MACHAO MASCULINA FTA 500 PRETA;Roupas;Regatas;Tijuca - RJ;69.99
22;01/01/2018;TENIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500;Calcados;Tenis Corrida;Cachambi - RJ;89.99
23;01/01/2018;TENIS FITNESS MASCULINO PRETO/CINZA LINHA 500;Calcados;Tenis Corrida;Botagogo - RJ;89.99
24;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 100;Calcados;Tenis Corrida;Gavea - RJ;119.99
25;01/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 900;Calcados;Tenis Corrida;Botagogo - RJ;249.99
26;01/01/2018;MEIA DE CORRIDA COMFORT INVISIBLE KALENJI;Calcados;Meias;Tijuca - RJ;9.99
27;01/01/2018;MEIA DE CORRIDA COMFORT HIGH;Calcados;Meias;Tijuca - RJ;9.99
28;01/01/2018;MEIA DE CORRIDA KIPRUN THICK KALENJI;Calcados;Meias;Botagogo - RJ;24.99
29;01/01/2018;LUVAS ACADEMIA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Botagogo - RJ;34.99
30;01/01/2018;LUVAS ACADEMIA / MEIA PALMA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Tijuca - RJ;25.99
31;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO PRETA;Acessorios;Bolsas;Cachambi - RJ;49.99
32;01/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO VIOLETA;Acessorios;Bolsas;Tijuca - RJ;49.99
33;01/01/2018;BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS;Acessorios;Bolsas;Botagogo - RJ;149.99
1;02/01/2018;BLUSA MASCULINA GINASTICA;Roupas;Agasalhos;Cachambi - RJ;39.99
2;02/01/2018;AGASALHO MENINO GINASTICA;Roupas;Agasalhos;Cachambi - RJ;69.99
3;02/01/2018;BERMUDA FITNESS MASCULINA FST 120 PRETO CLASSICA;Roupas;Bermudas;Cachambi - RJ;59.99
4;02/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA;Roupas;Bermudas;Botagogo - RJ;89.99
5;02/01/2018;"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500";Roupas;Bermudas;Barra da Tijuca - RJ;109.99
6;02/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO;Roupas;Bermudas;Botagogo - RJ;79.99
7;02/01/2018;CALCA SLIM 500;Roupas;Calcas;Gavea - RJ;129.99
8;02/01/2018;CALCA MASCULINA 500;Roupas;Calcas;Tijuca - RJ;129.99
9;02/01/2018;CALCA DE FITNESS ENERGY DOMYOS MASCULINA;Roupas;Calcas;Barra da Tijuca - RJ;89.99
10;02/01/2018;CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI;Roupas;Camisetas;Botagogo - RJ;79.99
11;02/01/2018;CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO;Roupas;Camisetas;Gavea - RJ;79.99
12;02/01/2018;CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO;Roupas;Camisetas;Tijuca - RJ;59.99
13;02/01/2018;CAMISETA FITNESS MASCULINA FST120 BORDO ESTAMPADO;Roupas;Camisetas;Cachambi - RJ;59.99
14;02/01/2018;CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI;Roupas;Camisetas;Gavea - RJ;49.99
15;02/01/2018;JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO;Roupas;Jaquetas;Tijuca - RJ;119.99
16;02/01/2018;JAQUETA MASCULINA DE ACADEMIA FVE900;Roupas;Jaquetas;Botagogo - RJ;169.99
17;02/01/2018;CASACO MASCULINO GINASTICA SPACER;Roupas;Jaquetas;Tijuca - RJ;189.99
18;02/01/2018;REGATA MACHAO MASCULINA FTA 500 VERDE;Roupas;Regatas;Cachambi - RJ;69.99
19;02/01/2018;"REGATA ""MACHAO"" FITNESS TECIDO LEVE 100 AZUL MARINHO";Roupas;Regatas;Gavea - RJ;39.99
20;02/01/2018;REGATA FITNESS MASCULINA 2019 - LINHA 500;Roupas;Regatas;Cachambi - RJ;59.99
21;02/01/2018;REGATA MACHAO MASCULINA FTA 500 PRETA;Roupas;Regatas;Tijuca - RJ;69.99
22;02/01/2018;TENIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500;Calcados;Tenis Corrida;Tijuca - RJ;89.99
23;02/01/2018;TENIS FITNESS MASCULINO PRETO/CINZA LINHA 500;Calcados;Tenis Corrida;Tijuca - RJ;89.99
24;02/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 100;Calcados;Tenis Corrida;Cachambi - RJ;119.99
25;02/01/2018;TENIS FITNESS MASCULINO PRETO LINHA 900;Calcados;Tenis Corrida;Tijuca - RJ;249.99
26;02/01/2018;MEIA DE CORRIDA COMFORT INVISIBLE KALENJI;Calcados;Meias;Botagogo - RJ;9.99
27;02/01/2018;MEIA DE CORRIDA COMFORT HIGH;Calcados;Meias;Tijuca - RJ;9.99
28;02/01/2018;MEIA DE CORRIDA KIPRUN THICK KALENJI;Calcados;Meias;Tijuca - RJ;24.99
29;02/01/2018;LUVAS ACADEMIA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Botagogo - RJ;34.99
30;02/01/2018;LUVAS ACADEMIA / MEIA PALMA MUSCULACAO NEOPRENE (O PAR);Acessorios;Luvas;Cachambi - RJ;25.99
31;02/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO PRETA;Acessorios;Bolsas;Gavea - RJ;49.99
32;02/01/2018;MALA ESPORTIVA 30L DOBRAVEL TUBO VIOLETA;Acessorios;Bolsas;Barra da Tijuca - RJ;49.99
33;02/01/2018;BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS;Acessorios;Bolsas;Cachambi - RJ;149.99
1;02/01/2018;BLUSA MASCULINA GINASTICA;Roupas;Agasalhos;Tijuca - RJ;39.99
2;02/01/2018;AGASALHO MENINO GINASTICA;Roupas;Agasalhos;Tijuca - RJ;69.99
3;02/01/2018;BERMUDA FITNESS MASCULINA FST 120 PRETO CLASSICA;Roupas;Bermudas;Barra da Tijuca - RJ;59.99
4;02/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA;Roupas;Bermudas;Gavea - RJ;89.99
5;02/01/2018;"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500";Roupas;Bermudas;Botagogo - RJ;109.99
6;02/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO;Roupas;Bermudas;Gavea - RJ;79.99
7;02/01/2018;CALCA SLIM 500;Roupas;Calcas;Botagogo - RJ;129.99
8;02/01/2018;CALCA MASCULINA 500;Roupas;Calcas;Botagogo - RJ;129.99
9;02/01/2018;CALCA DE FITNESS ENERGY DOMYOS MASCULINA;Roupas;Calcas;Botagogo - RJ;89.99
10;02/01/2018;CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI;Roupas;Camisetas;Tijuca - RJ;79.99
11;02/01/2018;CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO;Roupas;Camisetas;Tijuca - RJ;79.99
12;02/01/2018;CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO;Roupas;Camisetas;Botagogo - RJ;59.99
13;02/01/2018;CAMISETA FITNESS MASCULINA FST120 BORDO ESTAMPADO;Roupas;Camisetas;Botagogo - RJ;59.99
14;02/01/2018;CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI;Roupas;Camisetas;Botagogo - RJ;49.99
15;02/01/2018;JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO;Roupas;Jaquetas;Barra da Tijuca - RJ;119.99
16;02/01/2018;JAQUETA MASCULINA DE ACADEMIA FVE900;Roupas;Jaquetas;Barra da Tijuca - RJ;169.99
17;02/01/2018;CASACO MASCULINO GINASTICA SPACER;Roupas;Jaquetas;Cachambi - RJ;189.99
18;02/01/2018;REGATA MACHAO MASCULINA FTA 500 VERDE;Roupas;Regatas;Botagogo - RJ;69.99
19;02/01/2018;"REGATA ""MACHAO"" FITNESS TECIDO LEVE 100 AZUL MARINHO";Roupas;Regatas;Tijuca - RJ;39.99
20;02/01/2018;REGATA FITNESS MASCULINA 2019 - LINHA 500;Roupas;Regatas;Tijuca - RJ;59.99
21;02/01/2018;REGATA MACHAO MASCULINA FTA 500 PRETA;Roupas;Regatas;Cachambi - RJ;69.99
22;02/01/2018;TENIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500;Calcados;Tenis Corrida;Botagogo - RJ;89.99
